API Well Number,County,Company Name,API Hole Number,Sidetrack Code,Completion Code,Well Type Code,Production Field,Well Status Code,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, MCF","Water Produced, bbl","Oil Produced, bbl",Reporting Year,Location 1
31003651980000,Allegany,T.M. Quaintance Crude Oil Production,65198,00,00,OD,Ford's Brook,AC,Quaker q81,Alma,Richburg,12,,0,0,2004,"Alma, NY
(42.01271230700007, -78.05476699299999)"
31009226590000,Cattaraugus,Case Brothers Inc.,22659,00,00,OD,Bradford,IN,Bucher w2,Carrollton,"Chipmunk, Bradford 1st,2nd,3rd",,,,,2001,"Carrollton, NY
(42.10728218400004, -78.64980766599996)"
31009241550000,Cattaraugus,"East Resources, Inc.",24155,00,00,OD,Bradford,AC,Rumsey Devonian Sec 14 Lot 1-62,Allegany,Bradford & Chipmunk,7,994,0,497,2005,"Allegany, NY
(42.09225112200005, -78.49724749699999)"
31009555440000,Cattaraugus,"McCracken, Carl A. III",55544,00,00,OD,Bradford,PA,Roeske-Eakin 4     ,Carrollton,Bradford,12,,2,10,2007,"Carrollton, NY
(42.10728218400004, -78.64980766599996)"
31009128240000,Cattaraugus,"Synergy Oil & Gas, Inc.",12824,00,00,OD,Bradford,AC,Chipchop No W-35,Carrollton,"Chipmunk, Bradford 2nd & 3rd",12,,2,17,2005,"Carrollton, NY
(42.10728218400004, -78.64980766599996)"
31029043600000,Erie,Seneca Resources Corporation,04360,00,00,GD,Glenwood,AC,Zimmerer 1791-I,Colden,Medina,11,390,0,,2007,"Colden, NY
(42.648480445000075, -78.68738754399999)"
31029164490000,Erie,"Stedman Energy, Inc.",16449,00,00,GD,Brant-Eden,AC,Turnbull Unit 1,Brant,Medina,12,1374,70,,2005,"Brant, NY
(42.59375333000003, -79.01745739899997)"
31037175500000,Genesee,United States Gypsum Co.,17550,00,00,GD,Indian Falls,AC,Falker 1,Alabama,Medina,11,327,25,0,2003,"Alabama, NY
(43.127531644000044, -78.45730692899997)"
31029032060000,Erie,Iroquois Gas Corp.,03206,00,00,GD,Alden-Lancaster,PA,Cooper Perry 2,Lancaster,Medina,0,0,,,2001,"Lancaster, NY
(42.90039411200007, -78.67012916399995)"
31051173080000,Livingston,"Lenape Resources, Inc.",17308,00,00,GD,Uhley Corners-Caledonia,AC,Denoon 85,Caledonia,Medina,12,557,0,0,2002,"Caledonia, NY
(42.973873377000075, -77.85328585199994)"
31121198320000,Wyoming,"Ransom Rail Farm, Inc.",19832,00,00,GD,Leicester,AC,Dueppengiesser 4     ,Perry,Medina,0,0,0,0,2007,"Perry, NY
(42.719612357000074, -78.00549925199994)"
31051041670000,Livingston,"Ardent Resources, Inc.",04167,00,00,GD,Leicester,AC,Weiland N844,Leicester,Medina,12,295,0,0,2002,"Leicester, NY
(42.77199211900006, -77.89395996899998)"
31003190710000,Allegany,"Klein, Roger, A. Jr.",19071,00,00,OD,Richburg,AC,Lot 53 K-6,Alma,Richburg,12,0,5,,2002,"Alma, NY
(42.01271230700007, -78.05476699299999)"
31037173350000,Genesee,United States Gypsum Co.,17335,00,00,GD,Huron Creek,AC,Sierk 1,Darien,Medina,12,1620,0,0,2002,"Darien, NY
(42.90205237400005, -78.35201836199997)"
31009130360000,Cattaraugus,SWEPI LP,13036,00,00,OD,Bradford,PA,Enterprise Transit St 146,Allegany,"Chipmunk, Bradford 2nd & 3rd",,,,99,2003,"Allegany, NY
(42.09225112200005, -78.49724749699999)"
31003623240000,Allegany,"Plants & Goodwin, Inc.",62324,00,00,OD,Richburg,PA,Sawyer O-22,Bolivar,Richburg,12,3,,0,2002,"Bolivar, NY
(42.06668364500007, -78.16764889199999)"
31003147930000,Allegany,"Plants & Goodwin, Inc.",14793,00,00,OD,Beech Hill-Independence,PA,Mervine 27,Independence,Fulmer Valley,12,3,,,2002,"Independence, NY
(42.088023219000036, -77.78023782399998)"
31101215860000,Steuben,Richardson Petroleum Corp.,21586,00,00,OD,Beech Hill-Independence,AC,Neuenschwander 22,West Union,Fulmer Valley,12,131,260,174,2005,"West Union, NY
(42.094842991000064, -77.72058926999995)"
31011206230000,Cayuga,Minard Run Oil Co.,20623,00,00,GD,West Auburn,AC,Smith Harvey Est (1048-1),Aurelius,Queenston,12,4075,47,,2001,"Aurelius, NY
(42.922942928000055, -76.67442556599997)"
31003676250000,Allegany,"Rigas, Constantine J.",67625,00,00,GD,Alfred,AC,Blaisdell 3,Ward,Upper Devonian,12,30,0,,2005,"Ward, NY
(42.24812337000003, -77.84194920399995)"
31029162120000,Erie,"Stedman Energy, Inc.",16212,00,00,GD,Brant-Eden,AC,Distefano 1,Eden,Grimsby,11,1171,0,,2007,"Eden, NY
(42.66478299000005, -78.88882867299998)"
31099212860000,Seneca,Columbia Natural Resources  LLC,21286,00,00,GE,Fayette-Waterloo,AC,Jensen 1160-1,Fayette,Queenston,12,5190,0,0,2005,"Fayette, NY
(42.81890361500007, -76.80892711999996)"
31013180800000,Chautauqua,U S Energy Development Corp.,18080,00,00,GD,Lakeshore,AC,Smith 1,Harmony,Medina,11,1446,0,0,2001,"Harmony, NY
(42.02320426400007, -79.46875825999996)"
31011206850000,Cayuga,Minard Run Oil Co.,20685,00,00,GD,West Auburn,AC,Downing C W (1121-8),Springport,Queenston,12,3384,,,2002,"Springport, NY
(42.85856410200006, -76.68352600499998)"
31029015870000,Erie,Iroquois Gas Corp.,01587,00,00,GD,Brant-Eden,PA,None Specified,North Collins,Medina,,,,,2004,"North Collins, NY
(42.59468249100007, -78.94094613599998)"
31003235590000,Allegany,"Plants & Goodwin, Inc.",23559,00,00,OD,Beech Hill-Independence,AC,Mervine 39,Independence,Fulmer Valley,12,931,31,130,2005,"Independence, NY
(42.088023219000036, -77.78023782399998)"
31013192510000,Chautauqua,Empire Energy E&P LLC,19251,00,00,GD,Lakeshore,AC,"Wilcox, L 1",Gerry,Medina,12,782,0,0,2003,"Gerry, NY
(42.19296057200006, -79.24892953199998)"
31029223570000,Erie,Empire Energy E&P LLC,22357,00,00,GD,Brant-Eden,AC,Biegalaski B 1,Evans,Grimsby,12,418,100,0,2006,"Evans, NY
(42.64988085500005, -79.04095760399997)"
31011121490000,Cayuga,"Deptuch, Michael Estate",12149,00,00,GW,Summerhill,AC,Michael Deptuch 1,Summerhill,Oriskany,0,0,0,0,2007,"Summerhill, NY
(42.639042130000064, -76.32068656799999)"
31101214940000,Steuben,Richardson Petroleum Corp.,21494,00,00,OD,Beech Hill-Independence,AC,Losey 24,West Union,Fulmer Valley,12,152,3,21,2005,"West Union, NY
(42.094842991000064, -77.72058926999995)"
31011136460000,Cayuga,"OI. Auburn, Inc.",13646,00,00,GE,West Auburn,AC,O'Hara Farms Inc A132-5,Aurelius,Queenston,12,2785,0,,2006,"Aurelius, NY
(42.922942928000055, -76.67442556599997)"
31013121680000,Chautauqua,Great Lakes Energy Partners,12168,00,00,GD,Lakeshore,AC,Shorewood 1335,Dunkirk,Medina,12,2679,0,0,2005,"Dunkirk, NY
(42.48724218400008, -79.33577714999996)"
31013120950000,Chautauqua,Empire Energy E&P LLC,12095,00,00,GD,Lakeshore,AC,Merritt 1310,Hanover,Medina,12,2584,0,0,2006,"Hanover, NY
(42.96356369500006, -75.37938908499996)"
31009223340000,Cattaraugus,"Masoodi Mini Ventures, Inc.",22334,00,00,GD,Lakeshore,AC,Osswald 1,Leon,Medina,12,432,0,,2006,"Leon, NY
(42.29338104900006, -79.01635929999998)"
31099194910000,Seneca,Minard Run Oil Co.,19491,00,00,GD,Fayette-Waterloo,AC,Ritter 2 (4084),Varick,Queenston,12,4446,121,,2003,"Varick, NY
(42.805904258000055, -76.84525774399998)"
31101229560000,Steuben,Nathan Petroleum Corp.,22956,00,00,OD,Beech Hill-Independence,AC,Edwards II 16,West Union,Fulmer Valley,12,1332,5,349,2004,"West Union, NY
(42.094842991000064, -77.72058926999995)"
31013120070000,Chautauqua,Eagle S & T,12007,00,00,OD,Busti,AC,Anderson 14,Busti,Glade,10,,0,8,2005,"Busti, NY
(42.037884113000075, -79.28375749399999)"
31013193810000,Chautauqua,Hayden Harper Energy KA LLC,19381,00,00,GD,Lakeshore,AC,Anderson/Mackenzie 2-283,Ellery,Medina,12,7485.9000000000005,0,0,2001,"Ellery, NY
(42.195143433000055, -79.38579622199995)"
31009200670000,Cattaraugus,Empire Energy E&P LLC,20067,00,00,GD,Lakeshore,AC,"Shetler, M 2-A",Conewango,Medina,12,2644,0,0,2007,"Conewango, NY
(42.20817391000003, -79.00284868199998)"
31003192500000,Allegany,SK Enterprises,19250,00,00,OD,Andover,AC,Childs 4,Andover,Penny & Fulmer Valley,12,,6,34,2006,"Andover, NY
(42.16025323000008, -77.79311714599999)"
31009669370000,Cattaraugus,"Campbell, Philip Brian",66937,00,00,OD,Bradford,IN,Dutka 7,Carrollton,Bradford,0,,0,0,2005,"Carrollton, NY
(42.10728218400004, -78.64980766599996)"
31003102940000,Allegany,Francis Root Oil Co.,10294,00,00,IW,Richburg,PA,A-H Lot 80-P4-80,Alma,Richburg,0,0,0,,2006,"Alma, NY
(42.01271230700007, -78.05476699299999)"
31003662400000,Allegany,Estate of James D. Greene,66240,00,00,IW,Ford's Brook,IN,Fassett w2,Alma,Richburg,0,0,0,,2005,"Alma, NY
(42.01271230700007, -78.05476699299999)"
31003218230000,Allegany,Klein Oil & Logging,21823,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 50,Independence,Fulmer Valley,12,1,5,12,2007,"Independence, NY
(42.088023219000036, -77.78023782399998)"
31013191230000,Chautauqua,Empire Energy E&P LLC,19123,00,00,GD,Lakeshore,AC,Stetson 1 663,Ripley,Medina,12,1096,50,0,2006,"Ripley, NY
(42.266564318000064, -79.71128695999994)"
31003224930000,Allegany,"Otis Eastern Service, Inc.",22493,00,00,OD,Fulmer Valley,AC,"Wormley, F 3",Andover,Fulmer Valley,12,197,2,41,2005,"Andover, NY
(42.16025323000008, -77.79311714599999)"
31003224220000,Allegany,Richardson Petroleum Corp.,22422,00,00,OD,Beech Hill-Independence,AC,Bledsoe 8x,Independence,Fulmer Valley,12,206,1,2,2005,"Independence, NY
(42.088023219000036, -77.78023782399998)"
31013141800000,Chautauqua,Empire Energy E&P LLC,14180,00,00,GD,Lakeshore,AC,"Lane, S 1",Busti,Medina,12,44,,,2001,"Busti, NY
(42.037884113000075, -79.28375749399999)"
31003662320000,Allegany,Estate of James D. Greene,66232,00,00,IW,Ford's Brook,IN,Fassett w10,Alma,Richburg,0,0,0,0,2001,"Alma, NY
(42.01271230700007, -78.05476699299999)"
31003674940000,Allegany,"Sturdevant, Walter B.",67494,00,00,OD,Richburg,NR,Sloan 26,Bolivar,Richburg,0,,0,0,2006,"Bolivar, NY
(42.06668364500007, -78.16764889199999)"
31099046000000,Seneca,"Brown, Edward J. and Anne D.",04600,00,00,GD,Rose Hill,AC,Christensen 1,Fayette,Queenston,12,200,,,2003,"Fayette, NY
(42.81890361500007, -76.80892711999996)"
31009132860000,Cattaraugus,"Synergy Oil & Gas, Inc.",13286,00,00,OD,Bradford,PA,Goodman 03,Carrollton,Chipmunk,12,,4,37,2005,"Carrollton, NY
(42.10728218400004, -78.64980766599996)"
31003666800000,Allegany,"Clark, Richard C.",66680,00,00,OD,Richburg,AC,Crandall 2,Bolivar,Richburg,12,0,0,14,2001,"Bolivar, NY
(42.06668364500007, -78.16764889199999)"
31003660540000,Allegany,"Collins, Terry",66054,00,00,OD,Richburg,AC,Harder 123,Scio,Richburg,6,,0,5,2003,"Scio, NY
(42.173332610000045, -77.98390627099997)"
31009164170000,Cattaraugus,"Texas Keystone, Inc.",16417,00,00,GD,Lakeshore,AC,Stone C & J 2,Persia,Medina,,54,,,2002,"Persia, NY
(42.38478111000006, -78.93615806899999)"
31013154090000,Chautauqua,Great Lakes Energy Partners,15409,00,00,GD,Lakeshore,AC,Church 1,Gerry,Medina,12,732,0,0,2005,"Gerry, NY
(42.19296057200006, -79.24892953199998)"
31009169290000,Cattaraugus,"Texas Keystone, Inc.",16929,00,00,GD,Lakeshore,AC,"Kota, F 1",Persia,Medina,,205,,,2001,"Persia, NY
(42.38478111000006, -78.93615806899999)"
31013181960000,Chautauqua,Empire Energy E&P LLC,18196,00,00,GD,Lakeshore,AC,"Marshall, D 1",Ellington,Medina,12,1755,0,0,2007,"Ellington, NY
(42.21700315800007, -79.10806611699996)"
31029211670000,Erie,"Pefley Oil & Gas, Inc.",21167,00,00,GD,Central Wales,AC,Mac-V 2,Wales,Onondaga,0,,,,2004,"Wales, NY
(42.70394110800004, -78.57472793299996)"
31009107860000,Cattaraugus,"BDH Oil, Inc.",10786,00,00,IW,Chipmunk,NR,Nichols Run Hw-207,Allegany,Chipmunk & Bradford 2nd,0,,0,0,2005,"Allegany, NY
(42.09225112200005, -78.49724749699999)"
31121176010000,Wyoming,United States Gypsum Co.,17601,00,00,GD,Danley Corners,AC,Conrad 1,Bennington,Medina,12,2600,0,0,2002,"Bennington, NY
(42.83674438800006, -78.39450634199994)"
31009217610000,Cattaraugus,"Stevenson, Scott R Jr",21761,00,00,OD,Bradford,AC,Spafford 9,Carrollton,Bradford & Chipmunk,12,,29,280,2004,"Carrollton, NY
(42.10728218400004, -78.64980766599996)"
31013183320000,Chautauqua,"Universal Resources Holdings, Inc.",18332,00,00,GD,Lakeshore,AC,Rood 1,Gerry,Medina,8,111,0,,2006,"Gerry, NY
(42.19296057200006, -79.24892953199998)"
31013163620000,Chautauqua,"Stedman Energy, Inc.",16362,00,00,GD,Lakeshore,AC,Kovel 1,Busti,Medina,12,1793,0,,2006,"Busti, NY
(42.037884113000075, -79.28375749399999)"
31003675450000,Allegany,"Saint John Exploration & Production, Inc.",67545,00,00,OD,Richburg,IN,Big Four 13,Bolivar,Richburg,0,,,,2003,"Bolivar, NY
(42.06668364500007, -78.16764889199999)"
31029190040000,Erie,"Shattuck, Frank E. & Carol D.",19004,00,00,GD,Brant-Eden,AC,Borchert 1,Eden,Grimsby,12,136,0,,2003,"Eden, NY
(42.66478299000005, -78.88882867299998)"
31009646620000,Cattaraugus,"Kellner, Christian F.",64662,00,00,OD,Bradford,NR,Utter Purchase 30,Allegany,Bradford,12,0,10,15.59,2001,"Allegany, NY
(42.09225112200005, -78.49724749699999)"
31037161870000,Genesee,"Sierra Energy, Inc.",16187,00,00,GD,Alexander,AC,Baron 801,Alexander,Medina,12,745,0,,2006,"Alexander, NY
(42.90173228100008, -78.25626591699995)"
31009132520000,Cattaraugus,"East Resources, Inc.",13252,00,00,IW,Bradford,PA,Enterprise Transt St 0100,Allegany,"Chipmunk, Bradford 2nd & 3rd",12,0,3456,0,2005,"Allegany, NY
(42.09225112200005, -78.49724749699999)"
31009054530000,Cattaraugus,"Copper Ridge Oil, Inc.",05453,00,00,OD,Five Mile,AC,Lunn Stopfel & Place l20,Olean,Bradford,12,,1,24,2003,"Olean, NY
(42.07755349100006, -78.42886750099996)"
31013226190000,Chautauqua,"Pefley Oil & Gas, Inc.",22619,00,00,OD,Busti,AC,Drayer 1g,Busti,Glade,12,35,0,14,2002,"Busti, NY
(42.037884113000075, -79.28375749399999)"
31013212200000,Chautauqua,Empire Energy E&P LLC,21220,00,00,GD,Lakeshore,AC,"Zeitler, J 1",Chautauqua,Medina,12,2872,,,2001,"Chautauqua, NY
(42.205101900000045, -79.46580628599997)"
31003699790000,Allegany,"Tjhung, Frank T.",69979,00,00,OD,Fulmer Valley,NR,GPS 1144,Wellsville,Not Applicable,0,,0,0,2005,"Wellsville, NY
(42.127843753000036, -77.95913902899997)"
31013049720000,Chautauqua,Eagle S & T,04972,00,00,OD,Busti,AC,Anderson 4,Busti,Glade,12,0,0,,2001,"Busti, NY
(42.037884113000075, -79.28375749399999)"
31013627960000,Chautauqua,Empire Energies,62796,00,00,GD,Lakeshore,AC,Winn 1,Sheridan,Medina,12,210,0,0,2002,"Sheridan, NY
(42.487051017000056, -79.23930894099993)"
31003250070000,Allegany,Bull Dog Oil,25007,00,00,OD,Richburg,PA,Gadsby-Bulldog 4     ,Bolivar,Richburg,4,,40,210,2007,"Bolivar, NY
(42.06668364500007, -78.16764889199999)"
31009142230000,Cattaraugus,"Hemlock Oil & Gas Co., Inc.",14223,00,00,OD,Chipmunk,NR,Allegany Indian Reser 188,Carrollton,Chipmunk,0,0,0,0,2003,"Carrollton, NY
(42.10728218400004, -78.64980766599996)"
31003117800000,Allegany,Yahn & Yahn Inc.,11780,00,00,OD,Beech Hill-Independence,AC,Austin-Godown 05,Independence,Fulmer Valley,12,5,4,34,2005,"Independence, NY
(42.088023219000036, -77.78023782399998)"
31009109900000,Cattaraugus,"BDH Oil, Inc.",10990,00,00,IW,Chipmunk,NR,Nichols Run Hw-233,Allegany,Chipmunk & Bradford 2nd,2,,250,,2003,"Allegany, NY
(42.09225112200005, -78.49724749699999)"
31013211340000,Chautauqua,Seneca Resources Corporation,21134,00,00,GD,Lakeshore,AC,"Weber, B 6850",Cherry Creek,Medina,12,592,0,,2007,"Cherry Creek, NY
(42.29336326600003, -79.09200808799994)"
31009052760000,Cattaraugus,Cal Ban Corp.,05276,00,00,OD,Five Mile,AC,Boser Overton 6,Allegany,Bradford,12,0,0,,2001,"Allegany, NY
(42.09225112200005, -78.49724749699999)"
31013243460000,Chautauqua,U S Energy Development Corp.,24346,00,00,GD,Lakeshore,AC,Ruggiero 1     ,Hanover,Medina,12,2334,100,,2007,"Hanover, NY
(42.96356369500006, -75.37938908499996)"
31009138270000,Cattaraugus,"BDH Oil, Inc.",13827,00,00,OD,Chipmunk,NR,Nichols Run Ho-302,Allegany,"Chipmunk, Bradford 1st & 2nd",8,,20,24,2006,"Allegany, NY
(42.09225112200005, -78.49724749699999)"
31011107010000,Cayuga,Minard Run Oil Co.,10701,00,00,GD,West Auburn,AC,Rindfleisch Anna 2,Springport,Queenston,12,2866,175,0,2007,"Springport, NY
(42.85856410200006, -76.68352600499998)"
31003678390000,Allegany,Iron Dinosaur Oil,67839,00,00,OD,Browning,IN,Browning 5,Scio,Scio,0,0,0,0,2003,"Scio, NY
(42.173332610000045, -77.98390627099997)"
31013124230000,Chautauqua,"P & H Gas, LLC",12423,00,00,GD,Lakeshore,AC,Stoiantschewsky 454,Arkwright,Medina,6,68,0,0,2002,"Arkwright, NY
(42.403124252000055, -79.23637919499998)"
31009067740000,Cattaraugus,"Copper Ridge Oil, Inc.",06774,00,00,OD,Five Mile,PA,Weis 43,Olean,Bradford,0,,0,0,2006,"Olean, NY
(42.07755349100006, -78.42886750099996)"
31011207040000,Cayuga,Minard Run Oil Co.,20704,00,00,GD,West Auburn,AC,Pethybridge 935-4,Springport,Queenston,12,2654,0,,2001,"Springport, NY
(42.85856410200006, -76.68352600499998)"
31029036930000,Erie,Iroquois Gas Corp.,03693,00,00,GD,Alden-Lancaster,PA,Stutzman D 1,Lancaster,Medina,0,0,0,0,2002,"Lancaster, NY
(42.90039411200007, -78.67012916399995)"
31003667220000,Allegany,"Clark, Ralph",66722,00,00,IW,Richburg,IN,Clark 12,Genesee,Richburg,0,0,0,0,2004,"Genesee, NY
(43.000943515000074, -78.19369206299996)"
31003622990000,Allegany,"Plants & Goodwin, Inc.",62299,00,00,OD,Richburg,PA,Green 207,Bolivar,Richburg,12,8,4,3,2004,"Bolivar, NY
(42.06668364500007, -78.16764889199999)"
31013111370000,Chautauqua,Empire Energy E&P LLC,11137,00,00,GD,Lakeshore,AC,Seeley 195,Ripley,Medina,12,953,0,0,2003,"Ripley, NY
(42.266564318000064, -79.71128695999994)"
31013117850000,Chautauqua,"Resource Energy, LLC",11785,00,00,GD,Lakeshore,AC,Eastman-Seymour 1,North Harmony,Medina,12,1711,0,0,2006,"North Harmony, NY
(42.088272181000036, -79.41227952199995)"
31003670500000,Allegany,"Barry Resources, Inc.",67050,00,00,OD,Richburg,IN,Wellman a10,Bolivar,Waugh & Porter,0,0,0,0,2002,"Bolivar, NY
(42.06668364500007, -78.16764889199999)"
31013171540000,Chautauqua,"Kastle Resources Enterprises, Inc.",17154,00,00,GD,Lakeshore,AC,Gleason 1,Cherry Creek,Medina,12,4246,35,,2004,"Cherry Creek, NY
(42.29336326600003, -79.09200808799994)"
31003608170000,Allegany,James V. Joyce/DBA Pipeline Co.,60817,00,00,GD,Andover,NR,Livermore 14,Andover,Penny,0,0,0,,2006,"Andover, NY
(42.16025323000008, -77.79311714599999)"
31013178210000,Chautauqua,"Kastle Resources Enterprises, Inc.",17821,00,00,GD,Lakeshore,AC,Gleason 2,Cherry Creek,Medina,0,0,0,,2006,"Cherry Creek, NY
(42.29336326600003, -79.09200808799994)"
31013117920000,Chautauqua,"Judell, Douglas",11792,00,00,GD,Lakeshore,AC,Swank 195,Portland,Medina,12,250,0,0,2001,"Portland, NY
(42.36162322700005, -79.48653679199998)"
